city_id,name,country,population
1,Tokyo,JP,39105000.0
2,Jakarta,ID,35362000.0
3,Delhi,IN,31870000.0
4,Manila,PH,23971000.0
5,São Paulo,BR,22495000.0
6,Seoul,KR,22394000.0
7,Mumbai,IN,22186000.0
8,Shanghai,CN,22118000.0
9,Mexico City,MX,21505000.0
10,Guangzhou,CN,21489000.0
11,Cairo,EG,19787000.0
12,Beijing,CN,19437000.0
13,New York,US,18713220.0
14,Kolkāta,IN,18698000.0
15,Moscow,RU,17693000.0
16,Bangkok,TH,17573000.0
17,Dhaka,BD,16839000.0
18,Buenos Aires,AR,16216000.0
19,Ōsaka,JP,15490000.0
20,Lagos,NG,15487000.0
21,Istanbul,TR,15311000.0
22,Karachi,PK,15292000.0
23,Kinshasa,CD,15056000.0
24,Shenzhen,CN,14678000.0
25,Bangalore,IN,13999000.0
26,Ho Chi Minh City,VN,13954000.0
27,Tehran,IR,13819000.0
28,Los Angeles,US,12750807.0
29,Rio de Janeiro,BR,12486000.0
30,Chengdu,CN,11920000.0
31,Baoding,CN,11860000.0
32,Chennai,IN,11564000.0
33,Lahore,PK,11148000.0
34,London,GB,11120000.0
35,Paris,FR,11027000.0
36,Tianjin,CN,10932000.0
37,Linyi,CN,10820000.0
38,Shijiazhuang,CN,10784600.0
39,Zhengzhou,CN,10136000.0
40,Nanyang,CN,10013600.0
41,Hyderābād,IN,9840000.0
42,Wuhan,CN,9729000.0
43,Handan,CN,9549700.0
44,Nagoya,JP,9522000.0
45,Weifang,CN,9373000.0
46,Lima,PE,8992000.0
47,Zhoukou,CN,8953172.0
48,Luanda,AO,8883000.0
49,Ganzhou,CN,8677600.0
50,Tongshan,CN,8669000.0
51,Kuala Lumpur,MY,8639000.0
52,Chicago,US,8604203.0
53,Heze,CN,8287693.0
54,Chongqing,CN,8261000.0
55,Hanoi,VN,8246600.0
56,Fuyang,CN,8200264.0
57,Changsha,CN,8154700.0
58,Dongguan,CN,8142000.0
59,Jining,CN,8081905.0
60,Jinan,CN,7967400.0
61,Pune,IN,7948000.0
62,Foshan,CN,7905700.0
63,Bogotá,CO,7743955.0
64,Nanjing,CN,7729000.0
65,Ahmedabad,IN,7717000.0
66,Changchun,CN,7674439.0
67,Tangshan,CN,7577289.0
68,Cangzhou,CN,7544300.0
69,Dar es Salaam,TZ,7461000.0
70,Hefei,CN,7457027.0
71,Hong Kong,HK,7398000.0
72,Shaoyang,CN,7370500.0
73,Zhanjiang,CN,7332000.0
74,Shangqiu,CN,7325300.0
75,Nantong,CN,7283622.0
76,Yancheng,CN,7260240.0
77,Nanning,CN,7254100.0
78,Hengyang,CN,7243400.0
79,Zhumadian,CN,7231234.0
80,Shenyang,CN,7208000.0
81,Xingtai,CN,7104103.0
82,Xi’an,CN,7090000.0
83,Santiago,CL,7026000.0
84,Yantai,CN,6968202.0
85,Riyadh,SA,6889000.0
86,Luoyang,CN,6888500.0
87,Kunming,CN,6850000.0
88,Shangrao,CN,6810700.0
89,Hangzhou,CN,6713000.0
90,Bijie,CN,6686100.0
91,Quanzhou,CN,6480000.0
92,Miami,US,6445545.0
93,Wuxi,CN,6372624.0
94,Huanggang,CN,6333000.0
95,Maoming,CN,6313200.0
96,Nanchong,CN,6278614.0
97,Zunyi,CN,6270700.0
98,Qujing,CN,6155400.0
99,Xinyang,CN,6109106.0
100,Baghdad,IQ,6107000.0
101,Jieyang,CN,6089400.0
102,Khartoum,SD,6017000.0
